family,test,design,tau,p_exact,at_design_ceiling,ci_lo,ci_hi,ci_method,ci_width,ci_lo_percentile,ci_hi_percentile,ci_lo_fixed_denominator,ci_hi_fixed_denominator,ci_contains_zero,ci_excludes_abs_tau_0.3,largest_effect_not_excluded,tau_crit_for_design,bca_degenerate,z0,acceleration,n_boot,n_boot_nan
E2.6,mahalanobis,"B (5/5/5 ladder, n=15)",0.03380617018914066,0.9177674177674178,False,-0.47342722073549304,0.4649162105980768,BCa,0.9383434313335699,-0.42723919920032305,0.5041409283140723,-0.46201765925158905,0.4394802124588286,True,False,0.47342722073549304,0.439480212459,False,-0.04601285996081151,-0.021883087692241034,20000,0
E2.6,cosine,"B (5/5/5 ladder, n=15)",0.4169427656660682,0.05576698433841291,False,-0.011785113019775792,0.7115184490941612,BCa,0.723303562113937,0.05744849896214261,0.7543365091413572,0.011268723396380222,0.7099295739719539,True,False,0.7115184490941612,0.439480212459,False,-0.13590042435752298,-0.002674193417000033,20000,0
E2.6,knn_k1,"B (5/5/5 ladder, n=15)",-0.01126872339638022,1.0,False,-0.4710776914895693,0.5121225473908557,BCa,0.9832002388804251,-0.49652123150307814,0.4806925130436503,-0.46201765925158905,0.48455510604434954,True,False,0.5121225473908557,0.439480212459,False,0.05442068377809246,-0.00021206417489070035,20000,0
E2.6,knn_k10,"B (5/5/5 ladder, n=15)",0.03380617018914066,0.9177674177674178,False,-0.4990226137396671,0.48318963381080743,BCa,0.9822122475504745,-0.46203212465209204,0.5248906591678238,-0.48455510604434954,0.46201765925158905,True,False,0.4990226137396671,0.439480212459,False,-0.05856322824430529,-0.0025162721573473057,20000,0
E2.6,knn_k50,"B (5/5/5 ladder, n=15)",0.14649340415294287,0.5344206058491773,False,-0.38689885196196244,0.5658032638058332,BCa,0.9527021157677957,-0.31655360615069655,0.6182045541309925,-0.34933042528778685,0.5747048932153913,True,False,0.5658032638058332,0.439480212459,False,-0.06534413846760069,-0.028793616166046303,20000,0
E2.6,energy,"B (5/5/5 ladder, n=15)",0.34933042528778685,0.1143089714518286,False,-0.2710575994548432,0.7008716873381398,BCa,0.971929286792983,-0.15086730182827143,0.7543365091413572,-0.23664319132398465,0.6873921271791935,True,False,0.7008716873381398,0.439480212459,False,-0.12073618140048797,-0.031853406950137074,20000,0
E2.6,vim,"B (5/5/5 ladder, n=15)",0.07888106377466154,0.7566058280343995,False,-0.17586311452816475,0.24620836033943064,BCa,0.4220714748675954,-0.15086730182827143,0.2901294265928297,-0.14649340415294287,0.2817180849095055,True,True,0.24620836033943064,0.439480212459,False,-0.15274420400321673,0.01189066366562939,20000,0
E2.6,density_kde,"B (5/5/5 ladder, n=15)",0.03380617018914066,0.9177674177674178,False,-0.47342722073549304,0.47823371168623946,BCa,0.9516609324217324,-0.4454944223045301,0.5041409283140723,-0.46201765925158905,0.46201765925158905,True,False,0.47823371168623946,0.439480212459,False,-0.05178500976382561,-0.00464976419028245,20000,0
E2.7,logistic_regression,"B (5/5/5 ladder, n=15)",0.23664319132398462,0.29783444069158355,False,-0.24128369564099894,0.6213830046661821,BCa,0.8626667003071811,-0.1993115297985867,0.6481812160876685,-0.23664319132398465,0.5972423400081517,True,False,0.6213830046661821,0.439480212459,False,-0.07024331382191673,0.00015698994231806221,20000,0
E2.7,linear_svm,"B (5/5/5 ladder, n=15)",0.2591806381167451,0.25126725126725125,False,-0.20355267563034488,0.6278898104246379,BCa,0.8314424860549827,-0.17496355305594127,0.6550404675929549,-0.19156829773846376,0.6197797868009122,True,False,0.6278898104246379,0.439480212459,False,-0.0906131282680229,0.006589984750897913,20000,0
E2.7,random_forest,"B (5/5/5 ladder, n=15)",0.01126872339638022,1.0,False,-0.4337956825028064,0.4146442144313646,BCa,0.8484398969341711,-0.4103472672323844,0.4481541648562873,-0.4169427656660682,0.39440531887330776,True,False,0.4337956825028064,0.439480212459,False,-0.037608287661255936,-0.010490898776145348,20000,0
