family,test,design,tau,p_exact,at_design_ceiling,ci_lo,ci_hi,ci_method,ci_width,ci_lo_percentile,ci_hi_percentile,ci_lo_fixed_denominator,ci_hi_fixed_denominator,ci_contains_zero,ci_excludes_abs_tau_0.3,largest_effect_not_excluded,tau_crit_for_design,bca_degenerate,z0,acceleration,n_boot,n_boot_nan
E2.6,mahalanobis,"B (5/5/5 ladder, n=15)",0.01126872339638022,1.0,False,-0.5015621854270317,0.45724409777322833,BCa,0.95880628320026,-0.47581225961224066,0.4806925130436503,-0.48455510604434954,0.4394802124588286,True,False,0.5015621854270317,0.439480212459,False,-0.06006985351515215,0.004342845976071259,20000,0
E2.6,cosine,"B (5/5/5 ladder, n=15)",0.10141851056742199,0.6792440363868936,False,-0.38689885196196244,0.4883028940238391,BCa,0.8752017459858015,-0.36159134298227863,0.5196152422706631,-0.34933042528778685,0.50709255283711,True,False,0.4883028940238391,0.439480212459,False,-0.08293905450252374,0.011884981707119718,20000,0
E2.6,knn_k1,"B (5/5/5 ladder, n=15)",0.01126872339638022,1.0,False,-0.5222329678670935,0.45724409777322833,BCa,0.9794770656403218,-0.49358199765165367,0.4806925130436503,-0.50709255283711,0.4394802124588286,True,False,0.5222329678670935,0.439480212459,False,-0.07552123838642474,0.011024952639177844,20000,0
E2.6,knn_k10,"B (5/5/5 ladder, n=15)",0.01126872339638022,1.0,False,-0.4990226137396671,0.4315767642046552,BCa,0.9305993779443222,-0.47110268608937167,0.45724409777322833,-0.48455510604434954,0.4169427656660682,True,False,0.4990226137396671,0.439480212459,False,-0.07564692831832323,0.007995738198903595,20000,0
E2.6,knn_k50,"B (5/5/5 ladder, n=15)",0.01126872339638022,1.0,False,-0.4990226137396671,0.4315767642046552,BCa,0.9305993779443222,-0.47110268608937167,0.45724409777322833,-0.48455510604434954,0.4169427656660682,True,False,0.4990226137396671,0.439480212459,False,-0.07564692831832323,0.007995738198903595,20000,0
E2.6,energy,"B (5/5/5 ladder, n=15)",0.10141851056742199,0.6792440363868936,False,-0.39095025932100097,0.4990226137396671,BCa,0.8899728730606681,-0.3400020214211185,0.5427092530382482,-0.34933042528778685,0.50709255283711,True,False,0.4990226137396671,0.439480212459,False,-0.057684425107984175,-0.02348698765930809,20000,0
E2.6,vim,"B (5/5/5 ladder, n=15)",-0.12395595736018243,0.6049796764082478,False,-0.4315767642046552,0.24620836033943064,BCa,0.6777851245440858,-0.47342722073549304,0.20034692133618845,-0.4394802124588286,0.2141057445312242,True,False,0.4315767642046552,0.439480212459,False,0.0830648183849625,0.017155489591888798,20000,0
E2.6,density_kde,"B (5/5/5 ladder, n=15)",0.01126872339638022,1.0,False,-0.4990226137396671,0.4315767642046552,BCa,0.9305993779443222,-0.47110268608937167,0.45724409777322833,-0.48455510604434954,0.4169427656660682,True,False,0.4990226137396671,0.439480212459,False,-0.07564692831832323,0.007995738198903595,20000,0
E2.7,logistic_regression,"B (5/5/5 ladder, n=15)",-0.34933042528778685,0.1143089714518286,False,-0.6585527740981746,0.12764174416198928,BCa,0.7861945182601638,-0.7188918942063233,0.03464101615137754,-0.664854680386433,0.07888106377466154,True,False,0.6585527740981746,0.439480212459,False,0.08935472965343721,0.06115448664653959,20000,0
E2.7,linear_svm,"B (5/5/5 ladder, n=15)",-0.2817180849095055,0.20980342408913838,False,-0.5686536761219462,0.1524146992577428,BCa,0.7210683753796889,-0.6182045541309925,0.05954913341754136,-0.5747048932153913,0.12395595736018243,True,False,0.5686536761219462,0.439480212459,False,0.08595775437680077,0.05340719644959674,20000,0
